a, but, cnjcoo
ya, but, cnjcoo
ačarga, open, v
ačïk, open, adj
ačuw, grief, n
ačuw, pain, n
ačïw, pain, n
ačïw, grief, n
adam, man, n
adam, person, n
agarga, flow, v
agaz, weasel, n
agïl, barn, n
ak, white, adj
ak bet, pale,adj
al, front, n
ala, those, n
ala, they, n
ala, many-colored, adj
alay, but, cnjcoo
aldatïrga, cheat, v
alïrga, buy, v
alïrga, take, v
altï, six, num
altmïš, sixty, num
amanat, something held in trust, n
amma, but, cnjcoo
amaltïn, because of, pr
ana karnaš, maternal uncle, n
ansï, or, cncjoo
ansï, but, cncjoo
aŋï, mind, n
ara, middle, n
arba, cart, n
arba, car, n
ariw, beautiful, adj
art, back, n
aš üy, kitchen, n
ašarga, eat, v
ašigï, good, adj
ašxi, good, adj
axsï, good, adj
ašïgïrga, hurry, v
at, horse, n
at, name, n
at, noun, n
at j̆er, saddle, n
at j̆eri, saddle, n
atarga, throw, v
atarga, shoot, n
awur, heavy, adj
ay, moon, n
ay, month, n
ayak, foot, n
ayak barmak, toe, n
ayarga, fall, v
ayaz, chill, n
ayïrïga, chose, v
aytïrga, say, v
az, little, n
azar, little, n
baga, price, n
bagarga, feed, v
bal, honey, n
bal čibin, honey bee, n
baliy, cherry, n
bar,existent,adj
barïrga,go,v
barmark,finger,n
baš,head,n
baš,top,n
bašlarga,begin,v
baw,shed,n
bay,bandage,n
bazï,some,prn
berirge,give,v
beš,five,num
bet,face,n
bilek,arm,n
bilerge,sharpen,v
bilirge,know,v
bir,one,num
birkawum,some,det
birlik,unity,n
bišerge,cook,v
biz,we,prn
bïj̆ïl,this year,n
bïlayda,here,adv
bïltïr,last year,n
bïla,with,p
bïla,and,cnjcoo
bla,with,p
bla,and,cnjcoo
bïlay,with,p
blay,with,p
bolurga,be,v
bolurga,become,v
boš,empty,adj
bösarga,finish,v
bölürge,divide,v
börü,wolf,n
bu,this,dem
bula,and,cnjcoo
bula,with,p
bulj̆uŋŋan,consoled,?
bulut,cloud,n
burn,nose,n
bururga,twist,v
bururga,move,v
but,leg,n
buw,deer,n
bügün,today,n
bukün,today,n
bütew,all,prn
čabak,fish,n
čabarga,run,v
čač,hair,n
čaklï,near,p
čalïrga,mow,v
čančarga,inser,v
čayïr,pitch,n
čibin,fly,n
čïgarga,come out,v
čïnday,stocking,n
čírak,candle,n
da,and,cnjcjoo
deri,until,p
derge,say,v
egeč,sister,n
eki,two,num
el,village,n
elli,fifty,num
eltirge,take,v
eltirge,carry,v
em,and,cnjcoo
emda,and,cnjcoo
emček,breast,n
emček ana,wet nurse,n
emček ana,foster mother,n
endi,now,adv
aniš,downward,adv